Cust_type,Cabin_Type,Carrier_Type,Haul_type,Route_Type,Num_Tickets,Net_sales
1,1,1,1,1,0,153
1,1,1,1,1,1,159
1,1,1,1,1,1,"1,173"
1,1,1,1,1,0,621
1,1,1,1,1,1,402
1,1,1,1,1,1,"1,131"
1,1,1,1,1,2,"1,201"
1,1,1,1,1,1,169
1,1,1,1,1,2,"1,262"
1,1,1,1,1,1,920
1,1,1,1,1,0,158
1,1,1,1,1,1,186
1,1,1,1,1,2,121
1,1,1,1,1,1,220
1,1,1,1,1,3,733
1,1,1,1,1,1,381
1,1,1,1,1,-1,-706
1,1,1,1,1,1,344
1,1,1,1,1,0,-387
1,1,1,1,1,1,238
1,1,1,1,1,1,43
1,1,1,1,1,1,117
1,1,1,1,1,0,27
1,1,1,1,1,1,285
1,1,1,1,1,0,443
1,1,1,1,1,0,39
1,1,1,1,1,0,-160
1,1,1,1,1,-1,-267
1,1,1,1,1,2,453
1,1,1,1,1,0,126
1,1,1,1,1,0,229
1,1,1,1,1,4,"2,361"
1,1,1,1,1,1,420
1,1,1,1,1,1,229
1,1,1,1,1,0,325
1,1,1,1,1,3,"1,409"
1,1,1,1,1,4,"3,182"
1,1,1,1,1,2,"2,335"
1,1,1,1,1,9,"4,554"
1,1,1,1,1,0,584
1,1,1,1,1,0,131
1,1,1,1,1,0,190
1,1,1,1,1,1,104
1,1,1,1,1,0,181
1,1,1,1,1,1,725
1,1,1,1,1,2,"1,642"
1,1,1,1,1,3,"1,959"
1,1,1,1,1,1,649
1,1,1,1,1,2,726
1,1,1,1,1,1,970
1,1,1,1,1,1,195
1,1,1,1,1,2,"1,280"
1,1,1,1,1,-1,445
1,1,1,1,1,2,456
1,1,1,1,1,0,54
1,1,1,1,1,-1,-607
1,1,1,1,1,1,329
1,1,1,1,1,0,"2,043"
1,1,1,1,1,1,367
1,1,1,1,1,0,62
1,1,1,1,1,0,"1,199"
1,1,1,1,1,2,482
1,1,1,1,1,-2,-610
1,1,1,1,1,1,146
1,1,1,1,1,4,"1,800"
1,1,1,1,1,0,148
1,1,1,1,1,6,"2,544"
1,1,1,1,1,2,"1,672"
1,1,1,1,1,1,"1,092"
1,1,1,1,1,0,183
1,1,1,1,1,0,78
1,1,1,1,1,2,577
1,1,1,1,1,7,"3,886"
1,1,1,1,1,0,542
1,1,1,1,1,5,"3,286"
1,1,1,1,1,1,972
1,1,1,1,1,1,20
1,1,1,1,1,0,-39
1,1,1,1,1,1,870
1,1,1,1,1,2,824
1,1,1,1,1,2,"1,159"
1,1,1,1,1,1,227
1,1,1,1,1,4,"1,032"
1,1,1,1,1,0,272
1,1,1,1,1,6,"3,527"
1,1,1,1,1,1,"1,776"
1,1,1,1,1,3,"1,286"
1,1,1,1,1,1,190
1,1,1,1,1,0,78
1,1,1,1,1,2,795
1,1,1,1,1,1,159
0,1,1,1,1,2,559
0,1,1,1,1,1,100
0,1,1,1,1,0,5
0,1,1,1,1,2,637
0,1,1,1,1,0,128
0,1,1,1,1,2,555
1,1,2,1,1,2,361
1,1,2,1,1,1,"1,637"
1,1,2,1,1,1,325
1,1,2,1,1,3,"3,200"
1,1,2,1,1,2,950
1,1,2,1,1,-1,-411
1,1,2,1,1,0,335
1,1,2,1,1,0,"1,794"
1,1,2,1,1,1,-37
1,1,2,1,1,5,"5,703"
1,1,2,1,1,2,583
1,1,2,1,1,4,"6,658"
1,1,2,1,1,3,"1,074"
1,1,2,1,1,1,845
1,1,2,1,1,2,"5,151"
1,1,2,1,1,0,0
1,1,2,1,1,1,716
1,1,2,1,1,1,-353
1,1,2,1,1,-2,-332
1,1,2,1,1,6,"3,365"
1,1,2,1,1,3,"3,802"
1,1,2,1,1,3,822
1,1,2,1,1,3,"7,429"
1,1,2,1,1,2,"1,065"
1,1,2,1,1,3,"3,980"
1,1,2,1,1,6,"1,553"
1,1,2,1,1,2,"2,253"
1,1,2,1,1,1,212
1,1,2,1,1,2,"2,699"
1,1,3,1,1,1,"1,840"
1,1,3,1,1,0,361
1,1,3,1,1,4,"7,466"
1,1,3,1,1,2,"3,247"
1,1,3,1,1,0,-14
1,1,3,1,1,0,482
1,1,3,1,1,2,"3,267"
1,1,3,1,1,0,"1,023"
1,1,3,1,1,1,573
1,1,3,1,1,1,472
1,1,3,1,1,2,460
1,1,3,1,1,1,786
1,1,3,1,1,3,"3,414"
1,1,3,1,1,1,560
1,1,3,1,1,1,274
1,1,3,1,1,1,213
1,1,3,1,1,4,"3,810"
1,1,3,1,1,1,140
1,1,3,1,1,0,566
1,1,3,1,1,2,"2,844"
1,1,3,1,1,0,-13
1,1,3,1,1,1,"1,281"
1,1,1,1,1,10,"1,739"
1,1,1,1,1,3,"1,199"
1,1,1,1,1,11,"3,527"
1,1,1,1,1,1,253
1,1,1,1,1,9,"1,437"
1,1,1,1,1,0,128
1,1,1,1,1,106,"71,226"
1,1,1,1,1,3,846
1,1,1,1,1,15,"8,160"
1,1,1,1,1,1,156
1,1,1,1,1,6,698
1,1,1,1,1,2,386
1,1,1,1,1,1,197
1,1,1,1,1,25,"11,083"
1,1,1,1,1,12,"15,922"
1,1,1,1,1,9,"2,898"
1,1,1,1,1,15,"4,371"
1,1,1,1,1,6,"1,925"
1,1,1,1,1,6,"2,146"
1,1,1,1,1,3,884
1,1,1,1,1,15,"5,122"
1,1,1,1,1,0,31
1,1,1,1,1,11,"2,528"
1,1,1,1,1,89,"59,214"
1,1,1,1,1,3,904
1,1,1,1,1,16,"9,100"
1,1,1,1,1,1,"1,538"
1,1,1,1,1,2,555
1,1,1,1,1,1,200
1,1,1,1,1,2,685
1,1,1,1,1,29,"12,370"
1,1,1,1,1,0,0
1,1,1,1,1,13,"23,011"
1,1,1,1,1,2,917
1,1,1,1,1,7,"1,775"
1,1,1,1,1,3,"1,196"
1,1,1,1,1,7,"1,743"
1,1,1,1,1,2,376
1,1,1,1,1,14,"5,003"
1,1,1,1,1,2,552
1,1,1,1,1,1,473
1,1,1,1,1,10,"1,254"
1,1,1,1,1,18,"2,843"
1,1,1,1,1,106,"59,501"
1,1,1,1,1,3,644
1,1,1,1,1,13,"7,217"
1,1,1,1,1,2,987
1,1,1,1,1,8,"1,203"
1,1,1,1,1,6,"1,641"
1,1,1,1,1,2,534
1,1,1,1,1,1,388
1,1,1,1,1,2,"1,310"
1,1,1,1,1,48,"16,820"
1,1,1,1,1,19,"18,701"
1,1,1,1,1,10,"3,762"
1,1,1,1,1,1,307
1,1,1,1,1,1,326
1,1,1,1,1,18,"7,267"
1,1,1,1,1,1,236
1,1,1,1,1,5,"2,319"
1,1,1,1,1,9,"2,658"
1,1,1,1,1,2,545
1,1,1,1,1,7,"4,213"
1,1,1,1,1,1,591
1,1,1,1,1,6,"1,070"
1,1,1,1,1,16,"2,395"
1,1,1,1,1,79,"50,667"
1,1,1,1,1,2,646
1,1,1,1,1,13,"6,462"
1,1,1,1,1,3,"1,199"
1,1,1,1,1,6,725
1,1,1,1,1,4,987
1,1,1,1,1,0,0
1,1,1,1,1,1,"1,090"
1,1,1,1,1,34,"11,064"
1,1,1,1,1,12,"17,666"
1,1,1,1,1,8,"3,593"
1,1,1,1,1,-1,-307
1,1,1,1,1,0,100
1,1,1,1,1,8,"2,014"
1,1,1,1,1,1,487
1,1,1,1,1,2,"1,484"
1,1,1,1,1,6,"1,397"
1,1,1,1,1,2,757
1,1,1,1,1,6,"3,286"
1,1,1,1,1,1,273
1,1,1,1,1,28,"3,263"
1,1,1,1,1,99,"61,148"
1,1,1,1,1,1,415
1,1,1,1,1,16,"7,067"
1,1,1,1,1,5,"4,632"
1,1,1,1,1,6,663
1,1,1,1,1,6,"1,568"
1,1,1,1,1,1,198
1,1,1,1,1,2,"1,601"
1,1,1,1,1,0,185
1,1,1,1,1,12,"6,743"
1,1,1,1,1,9,"5,761"
1,1,1,1,1,20,"6,576"
1,1,1,1,1,1,112
1,1,1,1,1,21,"8,220"
1,1,1,1,1,8,"3,485"
1,1,1,1,1,9,"3,250"
1,1,1,1,1,2,604
1,1,1,1,1,17,"8,057"
1,1,1,1,1,2,712
1,1,1,1,1,9,"1,996"
1,1,1,1,1,77,"45,094"
1,1,1,1,1,6,"1,640"
1,1,1,1,1,18,"8,297"
1,1,1,1,1,3,3
1,1,1,1,1,11,"1,683"
1,1,1,1,1,3,553
1,1,1,1,1,3,"1,296"
1,1,1,1,1,5,"5,581"
1,1,1,1,1,27,"9,515"
1,1,1,1,1,8,"9,437"
1,1,1,1,1,21,"6,363"
1,1,1,1,1,18,"5,220"
1,1,1,1,1,-1,715
1,1,1,1,1,11,"2,683"
1,1,1,1,1,3,"1,016"
1,1,1,1,1,3,"1,047"
1,1,1,1,1,7,"1,890"
1,1,1,1,1,83,"44,748"
1,1,1,1,1,3,"1,211"
1,1,1,1,1,2,739
1,1,1,1,1,2,394
1,1,1,1,1,5,"1,459"
1,1,1,1,1,2,780
1,1,1,1,1,3,"2,897"
1,1,1,1,1,36,"12,796"
1,1,1,1,1,26,"28,607"
1,1,1,1,1,9,"2,733"
1,1,1,1,1,3,"1,346"
1,1,1,1,1,19,"5,671"
1,1,1,1,1,1,453
1,1,1,1,1,5,"2,671"
1,1,1,1,1,5,"3,149"
1,1,1,1,1,1,363
1,1,1,1,1,0,-58
1,1,1,1,1,12,"5,045"
1,1,1,1,1,8,"1,684"
1,1,1,1,1,100,"53,387"
1,1,1,1,1,1,597
1,1,1,1,1,11,"3,971"
1,1,1,1,1,4,"2,970"
1,1,1,1,1,1,165
1,1,1,1,1,2,458
1,1,1,1,1,0,159
1,1,1,1,1,2,"1,311"
1,1,1,1,1,2,"1,807"
1,1,1,1,1,35,"13,041"
1,1,1,1,1,-2,"3,665"
1,1,1,1,1,23,"8,832"
1,1,1,1,1,1,380
1,1,1,1,1,1,462
1,1,1,1,1,19,"8,394"
1,1,1,1,1,2,784
1,1,1,1,1,0,587
1,1,1,1,1,5,"1,181"
1,1,1,1,1,7,"1,764"
1,1,1,1,1,21,"9,138"
1,1,1,1,1,2,-256
1,1,1,1,1,1,48
1,1,1,1,1,1,259
1,1,1,1,1,99,"65,299"
1,1,1,1,1,1,414
1,1,1,1,1,14,"6,755"
1,1,1,1,1,3,"1,859"
1,1,1,1,1,1,302
1,1,1,1,1,4,"1,039"
1,1,1,1,1,0,166
1,1,1,1,1,5,"5,713"
1,1,1,1,1,40,"12,058"
1,1,1,1,1,6,"8,721"
1,1,1,1,1,14,"4,642"
1,1,1,1,1,1,353
1,1,1,1,1,9,"3,390"
1,1,1,1,1,2,483
1,1,1,1,1,2,644
1,1,1,1,1,3,581
1,1,1,1,1,12,"5,181"
1,1,1,1,1,92,"59,273"
1,1,1,1,1,2,559
1,1,1,1,1,11,"4,404"
1,1,1,1,1,4,"1,638"
1,1,1,1,1,4,765
1,1,1,1,1,6,"3,007"
1,1,1,1,1,1,318
1,1,1,1,1,5,"3,451"
1,1,1,1,1,29,"10,537"
1,1,1,1,1,8,"10,488"
1,1,1,1,1,0,159
1,1,1,0,1,12,"9,658"
1,1,1,0,1,2,980
1,1,1,0,1,10,"3,565"
1,1,1,0,1,0,0
1,1,1,0,1,2,925
1,1,1,0,1,3,602
1,1,1,0,1,1,137
1,1,1,0,1,2,898
1,1,1,0,1,3,"1,125"
1,1,1,0,1,36,"22,975"
1,1,1,0,1,3,692
1,1,1,0,1,11,"6,405"
1,1,1,0,1,5,"2,792"
1,1,1,0,1,1,171
1,1,1,0,1,2,562
1,1,1,0,1,2,606
1,1,1,0,1,32,"15,267"
1,1,1,0,1,10,"14,910"
1,1,1,0,1,5,"1,203"
1,1,1,0,1,0,6
1,1,1,0,1,5,"1,036"
1,1,1,0,1,2,930
1,1,1,0,1,3,818
1,1,1,0,1,1,285
1,1,1,0,1,-1,-303
1,1,1,0,1,5,"1,581"
1,1,1,0,1,1,125
1,1,1,0,1,36,"25,430"
1,1,1,0,1,1,397
1,1,1,0,1,4,"2,095"
1,1,1,0,1,1,"1,039"
1,1,1,0,1,3,739
1,1,1,0,1,1,272
1,1,1,0,1,2,656
1,1,1,0,1,0,58
1,1,1,0,1,33,"9,508"
1,1,1,0,1,9,"16,886"
1,1,1,0,1,5,"1,867"
1,1,1,0,1,16,"4,373"
1,1,1,0,1,4,"2,067"
1,1,1,0,1,9,"4,030"
1,1,1,0,1,6,"1,215"
1,1,1,0,1,6,"2,279"
1,1,1,0,1,0,851
1,1,1,0,1,92,"49,628"
1,1,1,0,1,4,"1,056"
1,1,1,0,1,8,"3,822"
1,1,1,0,1,1,604
1,1,1,0,1,1,170
1,1,1,0,1,4,"1,180"
1,1,1,0,1,0,130
1,1,1,0,1,2,616
1,1,1,0,1,2,"2,180"
1,1,1,0,1,38,"14,318"
1,1,1,0,1,8,"9,415"
1,1,1,0,1,14,"5,461"
1,1,1,0,1,17,"5,853"
1,1,1,0,1,3,"1,329"
1,1,1,0,1,6,"2,029"
1,1,1,0,1,8,"2,312"
1,1,1,0,1,5,"3,582"
1,1,1,0,1,-2,-178
1,1,1,0,1,77,"43,678"
1,1,1,0,1,0,796
1,1,1,0,1,7,"4,920"
1,1,1,0,1,1,365
1,1,1,0,1,3,327
1,1,1,0,1,2,401
1,1,1,0,1,1,698
1,1,1,0,1,29,"9,604"
1,1,1,0,1,4,"13,070"
1,1,1,0,1,24,"7,125"
1,1,1,0,1,8,"2,096"
1,1,1,0,1,1,165
1,1,1,0,1,6,"2,178"
1,1,1,0,1,1,645
1,1,1,0,1,-1,-299
1,1,1,0,1,0,42
1,1,1,0,1,-23,"-11,021"
1,1,1,0,1,-1,90
1,1,1,0,1,-3,"-1,241"
1,1,1,0,1,0,228
1,1,1,0,1,-2,-337
1,1,1,0,1,0,-5
1,1,1,0,1,1,-61
1,1,1,0,1,3,"6,876"
