Date,raceId,driverId,Race,Driver Name,constructorId,Racing Team,Race Results,grid,points,laps,Pit Stop (Seconds),fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Status,Win,Top 10 Grid,Finished Race,Pit Stop less than 30 Seconds
9/17/2023,1113,832,Singapore Grand Prix,sainz,6,Ferrari,1,1,25,62,29.499,47,7,0.001130394,182.089,1,Finished,1,1,1,1
9/17/2023,1113,846,Singapore Grand Prix,norris,1,McLaren,2,4,18,62,29.485,46,8,0.001134792,181.384,1,Finished,0,1,1,1
9/17/2023,1113,1,Singapore Grand Prix,hamilton,131,Mercedes,3,5,16,62,66.212,47,1,0.001109572,185.507,1,Finished,0,1,1,0
9/17/2023,1113,844,Singapore Grand Prix,leclerc,6,Ferrari,4,3,12,62,32.888,46,11,0.001137442,180.961,1,Finished,0,1,1,0
9/17/2023,1113,830,Singapore Grand Prix,max_verstappen,9,Red Bull,5,11,10,62,29.698,61,4,0.001117766,184.147,1,Finished,0,0,1,1
9/17/2023,1113,842,Singapore Grand Prix,gasly,214,Alpine F1 Team,6,12,8,62,31.802,46,12,0.001137465,180.957,1,Finished,0,0,1,0
9/17/2023,1113,857,Singapore Grand Prix,piastri,1,McLaren,7,17,6,62,29.369,46,13,0.001139954,180.562,1,Finished,0,0,1,1
9/17/2023,1113,815,Singapore Grand Prix,perez,9,Red Bull,8,13,4,62,28.977,61,5,0.001123935,183.136,1,Finished,0,0,1,1
9/17/2023,1113,859,Singapore Grand Prix,lawson,213,AlphaTauri,9,10,2,62,32.348,47,15,0.001146157,179.585,1,Finished,0,0,1,0
9/17/2023,1113,825,Singapore Grand Prix,kevin_magnussen,210,Haas F1 Team,10,6,1,62,64.553,48,10,0.001135498,181.271,1,Finished,0,1,1,0
9/17/2023,1113,848,Singapore Grand Prix,albon,3,Williams,11,14,0,62,59.925,46,6,0.001126644,182.696,1,Finished,0,0,1,0
9/17/2023,1113,855,Singapore Grand Prix,zhou,51,Alfa Romeo,12,0,0,62,60.669,46,16,0.001149491,179.064,1,Finished,0,1,1,0
9/17/2023,1113,807,Singapore Grand Prix,hulkenberg,210,Haas F1 Team,13,9,0,62,35.497,50,17,0.001156516,177.977,1,Finished,0,1,1,0
9/17/2023,1113,858,Singapore Grand Prix,sargeant,3,Williams,14,18,0,62,94.561,45,14,0.001140405,180.491,1,Finished,0,0,1,0
9/17/2023,1113,4,Singapore Grand Prix,alonso,117,Aston Martin,15,7,0,62,83.378,47,3,0.001116389,184.374,1,Finished,0,1,1,0
9/17/2023,1113,847,Singapore Grand Prix,russell,131,Mercedes,16,2,0,61,60.015,46,2,0.001114271,184.724,3,Accident,0,1,0,0
9/17/2023,1113,822,Singapore Grand Prix,bottas,51,Alfa Romeo,17,16,0,51,30.487,51,9,0.001135127,181.33,39,Technical,0,0,0,0
9/17/2023,1113,839,Singapore Grand Prix,ocon,214,Alpine F1 Team,18,8,0,42,29.755,33,18,0.001156597,177.964,6,Gearbox,0,1,0,1
9/17/2023,1113,852,Singapore Grand Prix,tsunoda,213,AlphaTauri,19,15,0,0,0,0,0,0,0,4,Collision,0,0,0,1
9/17/2023,1113,840,Singapore Grand Prix,stroll,117,Aston Martin,20,0,0,0,0,0,0,0,0,54,Withdrew,0,1,0,1
9/3/2023,1112,830,Italian Grand Prix,max_verstappen,9,Red Bull,1,2,25,51,24.228,33,2,0.000986574,244.659,1,Finished,1,1,1,1
9/3/2023,1112,815,Italian Grand Prix,perez,9,Red Bull,2,5,18,51,23.819,39,4,0.000989838,243.853,1,Finished,0,1,1,1
9/3/2023,1112,832,Italian Grand Prix,sainz,6,Ferrari,3,1,15,51,25.183,30,3,0.000989595,243.912,1,Finished,0,1,1,1
9/3/2023,1112,844,Italian Grand Prix,leclerc,6,Ferrari,4,3,12,51,23.931,38,5,0.000990509,243.687,1,Finished,0,1,1,1
9/3/2023,1112,847,Italian Grand Prix,russell,131,Mercedes,5,4,10,51,24.215,38,9,0.0009936,242.929,1,Finished,0,1,1,1
9/3/2023,1112,1,Italian Grand Prix,hamilton,131,Mercedes,6,8,8,51,24.255,29,6,0.000990532,243.682,1,Finished,0,1,1,1
9/3/2023,1112,848,Italian Grand Prix,albon,3,Williams,7,6,6,51,24.538,33,16,0.000999873,241.405,1,Finished,0,1,1,1
9/3/2023,1112,846,Italian Grand Prix,norris,1,McLaren,8,9,4,51,23.727,24,14,0.000997037,242.092,1,Finished,0,1,1,1
9/3/2023,1112,4,Italian Grand Prix,alonso,117,Aston Martin,9,10,2,51,24.798,43,13,0.000996586,242.201,1,Finished,0,0,1,1
9/3/2023,1112,822,Italian Grand Prix,bottas,51,Alfa Romeo,10,14,1,51,24.658,27,12,0.000995231,242.531,1,Finished,0,0,1,1
9/3/2023,1112,859,Italian Grand Prix,lawson,213,AlphaTauri,11,12,0,51,48.493,44,8,0.000993542,242.944,1,Finished,0,0,1,0
9/3/2023,1112,857,Italian Grand Prix,piastri,1,McLaren,12,7,0,51,55.932,43,1,0.00098463,245.142,1,Finished,0,1,1,0
9/3/2023,1112,858,Italian Grand Prix,sargeant,3,Williams,13,15,0,51,24.779,16,18,0.001005093,240.152,1,Finished,0,0,1,1
9/3/2023,1112,855,Italian Grand Prix,zhou,51,Alfa Romeo,14,16,0,51,50.355,35,11,0.000995174,242.545,1,Finished,0,0,1,0
9/3/2023,1112,842,Italian Grand Prix,gasly,214,Alpine F1 Team,15,17,0,51,52.062,44,7,0.000992569,243.181,1,Finished,0,0,1,0
9/3/2023,1112,840,Italian Grand Prix,stroll,117,Aston Martin,16,20,0,51,25.667,31,17,0.001002512,240.77,1,Finished,0,0,1,1
9/3/2023,1112,807,Italian Grand Prix,hulkenberg,210,Haas F1 Team,17,13,0,50,50.423,50,10,0.000994144,242.796,11,+1 Lap,0,0,0,0
9/3/2023,1112,825,Italian Grand Prix,kevin_magnussen,210,Haas F1 Team,18,19,0,50,49.425,42,15,0.000998588,241.716,11,+1 Lap,0,0,0,0
9/3/2023,1112,839,Italian Grand Prix,ocon,214,Alpine F1 Team,19,18,0,39,24.249,33,19,0.001006516,239.812,38,Steering,0,0,0,1
9/3/2023,1112,852,Italian Grand Prix,tsunoda,213,AlphaTauri,20,11,0,0,0,0,0,0,0,5,Engine,0,0,0,1
8/27/2023,1111,830,Dutch Grand Prix,max_verstappen,9,Red Bull,1,1,25,72,2581.587,58,2,0.000855197,207.505,1,Finished,1,1,1,0
